frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
1,1769515212.319799185,0.003588,-0.009081,0.001112,-0.000223,0.000011,0.000200,0.009900,0.009900
2,1769515212.419798613,-0.030254,-0.012656,-0.005841,-0.000223,0.000011,0.000200,0.033148,0.024462
3,1769515212.519798756,-0.060463,-0.015625,-0.013097,-0.000274,-0.000121,0.000400,0.063602,0.041801
4,1769515212.619798183,-0.003730,0.012765,0.000899,-0.000274,-0.000121,0.000400,0.013351,0.036811
5,1769515212.719798326,0.027497,-0.009331,0.000227,-0.000498,-0.000111,0.000600,0.029476,0.035466
6,1769515212.819797754,0.005071,-0.006880,-0.002358,-0.000406,-0.000070,0.000600,0.009226,0.032594
7,1769515212.919797421,-0.007164,-0.028157,0.048619,0.000081,-0.000183,0.000700,0.055958,0.036850
8,1769515213.019796848,-0.000817,-0.005232,0.000125,0.000304,-0.000194,0.000600,0.005184,0.034519
9,1769515213.119796753,-0.003080,-0.013060,-0.006619,0.017505,-0.000024,0.000700,0.025441,0.033631
10,1769515213.219798326,0.006851,-0.014810,-0.030638,0.029547,-0.000058,0.002200,0.042556,0.034627
11,1769515213.319797516,-0.017781,-0.002011,0.000023,0.022814,-0.000410,0.001500,0.040654,0.035218
12,1769515213.419824362,-0.024707,-0.016060,0.002488,0.012308,0.000849,0.001300,0.040712,0.035708
13,1769515213.519796371,-0.049763,-0.008771,-0.000101,0.002944,-0.000229,0.000900,0.053404,0.037368
14,1769515213.619796276,0.041155,-0.005801,0.007550,-0.004437,-0.000103,0.000500,0.046485,0.038092
15,1769515213.719824076,-0.082629,-0.009208,-0.003349,-0.002208,-0.002179,0.000500,0.080820,0.042305
16,1769515213.819795609,0.088839,-0.007645,0.000793,0.032225,-0.011557,-0.000300,0.056759,0.043350
17,1769515213.919795513,0.101010,-0.006517,-0.000140,0.049004,-0.013651,-0.000600,0.052495,0.043940
18,1769515214.019795179,0.120317,-0.007010,0.000869,0.075409,-0.015754,-0.000100,0.045761,0.044043
19,1769515214.119795084,0.153097,-0.007242,0.001262,0.210470,-0.036843,-0.000700,0.064590,0.045357
20,1769515214.219799519,0.202321,-0.006612,0.002069,0.285282,-0.041600,-0.000300,0.090068,0.048580
21,1769515214.419799089,0.340090,-0.006495,0.004490,0.578792,-0.060756,-0.001000,0.244853,0.071432
22,1769515214.519798517,0.435020,-0.006578,0.005780,0.761080,-0.069713,-0.001800,0.332203,0.099433
23,1769515214.619825363,0.546238,-0.009654,0.006389,0.932825,-0.075350,-0.002000,0.392219,0.127065
24,1769515214.719797850,0.684204,-0.011323,0.008506,1.126548,-0.088655,-0.002600,0.449190,0.154532
25,1769515214.819825649,0.840489,-0.008704,0.011123,1.336563,-0.114329,-0.002100,0.507367,0.182268
26,1769515214.919824600,1.024590,-0.006780,0.013453,1.516160,-0.123382,-0.002900,0.505474,0.204380
27,1769515215.019824028,1.207462,-0.006692,0.014456,1.708525,-0.166262,-0.003100,0.526151,0.224671
28,1769515215.119823933,1.392742,-0.008186,0.015771,1.868581,-0.178597,-0.004500,0.505839,0.240443
29,1769515215.219821930,1.578904,-0.009264,0.015894,2.052632,-0.194757,-0.004700,0.509165,0.254477
30,1769515215.319822311,1.757842,-0.016480,0.017124,2.174255,-0.233924,-0.002000,0.470157,0.264515
31,1769515215.419821262,1.911642,-0.010785,0.018418,2.321569,-0.250580,-0.002400,0.475368,0.273863
